Date,Day of the Week,Amount,Description,Category ,Method of Payment
1/20,Friday,20,earphones,Entertainment and Recreation,Cash
1/22,Sunday,2,garlic bread,Food,Debit
1/22,Sunday,4,rasp mango cake,Food,Debit
1/23,Monday,8,takoyaki,Food,Debit
1/23,Monday,8,jellyfish,Food,Debit
1/24,Tuesday,3,sweet tea,Food,Cash
1/25,Wednesday,1.5,water,Food,Cash
1/25,Wednesday,35,haircut + tip,Entertainment and Recreation,Cash
1/25,Wednesday,7,fries,Food,Debit
1/25,Wednesday,2,samtrans,Travel,Cash
1/26,Thursday,3,gatorade,Food,Debit
1/26,Thursday,2,sam trans,Travel,Cash
1/27,Friday,2,sam trans,Travel,Cash
1/27,Friday,3,water,Food,Debit
1/27,Friday,3,sweet tea,Food,Debit
1/27,Friday,8,chickentender combo,Food,Debit
1/28,Saturday,60,yearly vpn,Entertainment and Recreation,Debit
1/31,Tuesday,2,bus,Travel,Cash
1/31,Tuesday,12,garlic fries,Food,Debit
1/31,Tuesday,54.29,box of quest protein,Food,Debit